ind,t_on,t_off,stim_id
0,10160,13160,12
1,13161,16159,0
2,16160,19160,12
3,19161,22159,0
4,22160,25160,12
5,25161,28239,0
6,28240,31240,11
7,31241,34239,0
8,34240,37240,12
9,37241,40319,0
10,40320,43320,12
11,43321,46359,0
12,46360,49360,12
13,49361,52439,0
14,52440,55440,11
15,55441,58519,0
16,58520,61520,11
17,61521,64599,0
18,64600,67600,12
19,67601,70679,0
20,70680,73680,12
21,73681,76679,0
22,76680,79680,11
23,79681,82679,0
24,82680,85680,11
25,85681,88719,0
26,88720,91720,11
27,91721,94759,0
28,94760,97760,12
29,97761,100759,0
30,100760,103760,11
31,103761,106799,0
32,106800,109800,11
33,109801,112839,0
34,112840,115840,11
35,115841,118879,0
36,118880,121880,12
37,121881,124959,0
38,124960,127960,12
39,127961,131039,0
40,131040,134040,11
41,134041,137079,0
42,137080,140080,11
43,140081,143159,0
44,143160,146160,12
45,146161,149159,0
46,149160,152160,11
47,152161,155159,0
48,155160,158160,11
49,158161,161159,0
50,161160,164160,12
51,164161,167239,0
52,167240,170240,12
53,170241,173319,0
54,173320,176320,12
55,176321,179319,0
56,179320,182320,11
57,182321,185319,0
58,185320,188320,11
59,188321,191319,0
60,191320,194320,12
61,194321,197399,0
62,197400,200400,11
63,200401,203399,0
64,203400,206400,12
65,206401,209479,0
66,209480,212480,12
67,212481,215519,0
68,215520,218520,12
69,218521,221519,0
70,221520,224520,12
71,224521,227559,0
72,227560,230560,11
73,230561,233599,0
74,233600,236600,12
75,236601,239639,0
76,239640,242640,11
77,242641,245639,0
78,245640,248640,12
79,248641,251639,0
80,251640,254640,12
81,254641,257719,0
82,257720,260720,11
83,260721,263759,0
84,263760,266760,11
85,266761,269799,0
86,269800,272800,12
87,272801,275839,0
88,275840,278840,11
89,278841,281839,0
90,281840,284840,11
91,284841,287879,0
92,287880,290880,11
93,290881,293879,0
94,293880,296880,11
95,296881,299879,0
96,299880,302880,11
97,302881,305919,0
98,305920,308920,12
99,308921,311919,0
100,311920,314920,12
101,314921,317999,0
102,318000,321000,12
103,321001,323999,0
104,324000,327000,12
105,327001,330079,0
106,330080,333080,11
107,333081,336119,0
108,336120,339120,12
109,339121,342199,0
110,342200,345200,11
111,345201,348239,0
112,348240,351240,11
113,351241,354319,0
114,354320,357320,12
115,357321,360359,0
116,360360,363360,11
117,363361,366439,0
118,366440,369440,11
